id	target	decennie	annee
CR_CA_2001-01-22_TEI	CR	2000	2001
CR_CA_2001-02-26_TEI	CR	2000	2001
CR_CA_2001-03-19_TEI	CR	2000	2001
CR_CA_2001-07-02_TEI	CR	2000	2001
CR_CA_2002-04-29_TEI	CR	2000	2002
CR_CA_2002-06-24_A_TEI	CR	2000	2002
CR_CA_2002-06-24_B_TEI	CR	2000	2002
CR_CA_2002-09-23_TEI	CR	2000	2002
CR_CA_2002-11-07_A_TEI	CR	2000	2002
CR_CA_2002-11-07_B_TEI	CR	2000	2002
CR_CA_2002-12-20_TEI	CR	2000	2002
CR_CA_1984-01-16_ITEI	CR	1980	1984
CR_CA_1984-02-06_ITEI	CR	1980	1984
CR_CA_1984-03-05_ITEI	CR	1980	1984
CR_CA_1984-03-26_ITEI	CR	1980	1984
CR_CA_1984-05-04_ITEI	CR	1980	1984
CR_CA_1984-05-21_ITEI	CR	1980	1984
CR_CA_1984-06-04_ITEI	CR	1980	1984
CR_CA_1984-06-18_ITEI	CR	1980	1984
CR_CA_1984-07-03_ITEI	CR	1980	1984
CR_CA_1984-10-08_ITEI	CR	1980	1984
CR_CA_1984-11-19_ITEI	CR	1980	1984
CR_CA_1984-12-17_ITEI	CR	1980	1984
CR_CA_1985-01-07_ITEI	CR	1980	1985
CR_CA_1985-01-14_ITEI	CR	1980	1985
CR_CA_1985-02-11_ITEI	CR	1980	1985
CR_CA_1985-03-04_ITEI	CR	1980	1985
CR_CA_1985-03-18_ITEI	CR	1980	1985
CR_CA_1985-03-25_ITEI	CR	1980	1985
CR_CA_1985-04-15_ITEI	CR	1980	1985
CR_CA_1985-05-13_ITEI	CR	1980	1985
CR_CA_1985-06-13_ITEI	CR	1980	1985
CR_CA_1985-06-17_ITEI	CR	1980	1985
CR_CA_1985-07-01_ITEI	CR	1980	1985
CR_CA_1985-11-04_ITEI	CR	1980	1985
CR_CA_1985-11-18_ITEI	CR	1980	1985
CR_CA_1985-12-12_ITEI	CR	1980	1985
CR_CA_1986-01-13_ITEI	CR	1980	1986
CR_CA_1986-02-03_ITEI	CR	1980	1986
CR_CA_1986-02-24_ITEI	CR	1980	1986
CR_CA_1986-03-10_ITEI	CR	1980	1986
CR_CA_1986-03-24_ITEI	CR	1980	1986
CR_CA_1986-04-07_ITEI	CR	1980	1986
CR_CA_1986-04-21_ITEI	CR	1980	1986
CR_CA_1986-04-28_ITEI	CR	1980	1986
CR_CA_1986-05-16_ITEI	CR	1980	1986
CR_CA_1986-06-16_ITEI	CR	1980	1986
CR_CA_1986-06-30_ITEI	CR	1980	1986
CR_CA_1986-09-29_ITEI	CR	1980	1986
CR_CA_1986-12-01_ITEI	CR	1980	1986
